"Task ID","Task Name","tags","Przeznaczenie (drop down)","Klawiatura (labels)","Obudowa (labels)","Procesor (drop down)","Model Procesora (short text)","Grafika (short text)","RAM (drop down)","Dysk (drop down)","Rozdzielczość (drop down)","Matryca (labels)","Problemy (labels)","Uwagi (text)","Regał (drop down)","Lists","Zamówienie (short text)"
"86bwe7nch","241KWT2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Mikro poświatka]","","
","","[24.10.23 TES FRANCJA -]",""
"86bwe7y3h","G6CJHR2","[dell latitude 7490]","Magazyn","[Pionowy Enter ISO / EU]","[Ok]","i7","8650U","","8","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[Bateria brak]","brak tasiemki do baterii
","13","[24.10.23 TES FRANCJA -]",""
"86bwe872x","7qvwyw2","[dell latitude 7490]","Przyjęcie","[Krótki Enter ANSI / US, QWERTY PL, Podświetlana]","[Klapa ma otarcia, Ok]","i7","8650U","","8","256","1920 x 1080","[Mikro otarcia]","","DZIALA BARDZO GLOSNO
","1","[24.10.23 TES FRANCJA -]",""
"86bwe8v3k","DTV6NF2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Wielka rysa / rysy, Mikro poświatka]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwe8xmt","9BPMWT2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwe94bg","C8CRHR2","[dell latitude 7490]","Magazyn","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia, Zwykłe poświatki]","","","1","[24.10.23 TES FRANCJA -]",""
"86bwebyea","38mx0x2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","naroznik z tylu lekko zdarty","1","[24.10.23 TES FRANCJA -]",""
"86bwec2vy","dw6lvt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Brytyjska, Podświetlana]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Bez wad]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwec693","6qvmwt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Mikro otarcia]","[Bateria brak, Klapa X, Bateria bios]","","1","[24.10.23 TES FRANCJA -]",""
"86bwecg60","DBY12X2","[dell latitude 7490]","Magazyn","[Krótki Enter ANSI / US, QWERTY PL, Podświetlana]","[Klapa ma otarcia, Ok]","i7","8","","","","","[]","[]","","","[24.10.23 TES FRANCJA -]",""
"86bwed87v","hjb1wt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","","i7","8650U","","16","256","1920 x 1080","[Bez wad]","[Palmrest]","drobny uszczerbek pod usb","","[24.10.23 TES FRANCJA -]",""
"86bweddtk","1rqqvt2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Niemiecka]","[Ok]","i7","8650U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia]","","","9","[24.10.23 TES FRANCJA -]",""
"86bwedx2v","dzpjhr2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","","i7","8650U","","16","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[Bateria brak, Touchpad]","

","","[24.10.23 TES FRANCJA -]",""
"86bweed9k","8ZBJHR2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Ok]","i7","8650U","","16","256","1920 x 1080","[Mikro otarcia]","","TOUCHPAD I PALMREST WYTARTE","","[24.10.23 TES FRANCJA -]",""
"86bweemtv","46H0NQ2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Inna]","[Klapa ma otarcia, Ok]","i7","8650U","","16","500","1920 x 1080","[Wielkie poświaty, Zwykłe ryski / otarcia]","","Ciemniejsze plamy na bialym, brak gumki od dolu","1","[24.10.23 TES FRANCJA -]",""
"86bwef36e","18crhr2","[dell latitude 7490]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok, Pęknięcie / Uszczerbek]","i7","8650U","","8","256","1920 x 1080","[Zwykłe ryski / otarcia]","[Spód X, Bateria brak]","na spodzie uszczerbek w rogu","","[24.10.23 TES FRANCJA -]",""
"86bwg13qf","PC0EP5UT","[lenovo thinkpad p50]","Serwis","[Pionowy Enter ISO / EU, Uszkodzona, Niekompletna, Francuska]","[Pęknięcie / Uszczerbek]","i7","6820HQ","M2000M","4","256","1920 x 1080","[Zwykłe poświatki, Mikro otarcia]","","nie wszystkie klawisze działają, brak trackpointa","12","[Mix - przed 11.2023]",""
"86bwg4fm0","pc1ky313","[lenovo thinkpad x395]","Przyjęcie","[Pionowy Enter ISO / EU, Uszkodzona, Francuska]","[Klapa ma otarcia, Ok]","AMD","3500U","Radeon Vega 8","16","256","1920 x 1080","[Zwykłe ryski / otarcia, Mikro poświatka]","[Touchpad]","duzo klawiszy nie dziala, touchpad nie zawsze dziala","","[Mix - przed 11.2023]",""
"86bwgnz4d","12yzp13","[dell precision 7540]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","9400H","","32","","","[Bez wad]","[Hasło Bios]","","3","[20.11.23 ATF Francja 239239 -]",""
"86bwgpacn","4ff5453","[dell precision 7540]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Wgniotka / Odstaje]","i5","9400H","T2000 Quadro","32","512","1920 x 1080","[Bez wad]","[Inny]","wygięta obudowa z tyłu","3","[20.11.23 ATF Francja 239239 -]",""
"86bwh69e9","dy9tjw2","[dell latitude 5300]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Zwykłe ryski / otarcia, Zwykłe poświatki]","","","","[20.11.23 ATF Francja 239239 -]",""
"86bwhmh53","PF1G9DX9","[lenovo thinkpad p52]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","Xeon","E-2176M","P2000 Quadro","16","BRAK","1920 x 1080","[Zwykłe ryski / otarcia, Zwykłe poświatki]","[Palmrest]","","12","[20.11.23 ATF Francja 239239 -]",""
"86bwhmn7e","pf2tw008","[lenovo thinkpad p15s]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","10310U","P520 Quadro","16","512","1920 x 1080","[Bez wad]","[Hasło Bios]","TEST OK","12","[20.11.23 ATF Francja 239239 -]",""
"86bwhnjvj","MP1HUUUM","[lenovo thinkpad l570]","Przyjęcie","[Pionowy Enter ISO / EU, Niekompletna, Francuska]","[Pęknięcie / Uszczerbek]","i5","6200U","","8","128","1366 x 768","[Zwykłe ryski / otarcia, Mikro poświatka]","","pękn. kolo gniazda zasilania","","[20.11.23 ATF Francja 239239 -]",""
"86bwhnu95","MP1CVLD7","[lenovo thinkpad l570]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","","","","","","","[Zbita]","[Ramka Matrycy]","NO TEST, Klapa i ramka matrycy do wymiany","","[20.11.23 ATF Francja 239239 -]",""
"86bwhp99g","atf297049","[lenovo thinkpad x380 yoga]","Przyjęcie","[Pionowy Enter ISO / EU, Uszkodzona, Francuska]","[Klapa ma otarcia, Wgniotka / Odstaje]","i5","8350U","","8","BRAK","1920 x 1080","[Zwykłe ryski / otarcia]","[Touchpad, Nie włącza się]","sprawdzic tez dzwiek, brak rysika,, nie chce ponownie sie uruchomic","","[20.11.23 ATF Francja 239239 -]",""
"86bwhr8pc","F4STGK3","[dell latitude 7420]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","","","","","","","[Zbita]","","NO TEST","","[20.11.23 ATF Francja 239239 -]",""
"86bwhre5z","pc17ghl9","[lenovo thinkpad t495s]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","","","","","","","","","[]","","","[20.11.23 ATF Francja 239239 -]",""
"86bwhuz5c","248tmf2","[dell latitude e7270]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","6300U","","8","256","1920 x 1080","[Bez wad]","","","","[20.11.23 ATF Francja 239239 -]",""
"86bwhv14g","CXXHWZ2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Zbita]","","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhv2tz","20symw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","","","","","","","[Zbita]","[Inny]","NO TEST, Klapa do wymiany","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhykx1","5Z9TJW2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","","","","","","","[Zbita]","[]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhymfh","jmmymw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","8365U","","8","","","[]","[Hasło Bios]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyn17","8SBTJW2","[dell latitude 5300]","Magazyn","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Zwykłe ryski / otarcia]","[]","","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyn33","dthymw2","[dell latitude 5300]","Magazyn","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","BRAK","1366 x 768","[Zwykłe ryski / otarcia]","[]","","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyn4y","5m9tjw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","","","","","","","[Zbita]","[]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhynfz","6DBTJW2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","","","[Zbita]","[]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhynrv","5wyhwz2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","i5","8365U","","8","","","[Zbita]","[Spód X]","","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhypat","4lmymw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","8365U","","8","","","[]","[Hasło Bios]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhypvq","9kitjw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","i5","8365U","","8","","","[Zbita]","[Ramka Matrycy]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyq78","GRBTJW2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","","","[Zbita]","[]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyqey","hpyhwz2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Uszkodzona, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Zwykłe ryski / otarcia, Zwykłe poświatki]","[]","część klawiszy nie dziala","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyqm5","hwxhwz2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Klapa ma otarcia, Ok]","","","","","","","","[Nie włącza się]","tylko diodia zasilania, brak obrazu","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhytth","4fthwz2","[dell latitude 5300]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Zwykłe ryski / otarcia]","[]","","","[20.11.23 ATF Francja 239239 -]",""
"86bwhyv89","HJMYMW2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","8365U","","8","","","[]","[Hasło Bios]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyv9d","fvjswf2","[dell latitude e7270]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","6300U","","8","BRAK","1366 x 768","[Bez wad]","[USB , Zawiasy ]","USB z prawej X","","[20.11.23 ATF Francja 239239 -]",""
"86bwhyvmp","95r6nw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","8365U","","8","","","[]","[Hasło Bios]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhyvr2","1HBTJW2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Zbita]","[]","NO TEST","3","[20.11.23 ATF Francja 239239 -]",""
"86bwhywcx","73tr2x2","[dell latitude 7290]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Pęknięcie / Uszczerbek]","i5","8250U","","16","512","","[Bez wad]","","USZKODZONY SPÓD","","[20.11.23 ATF Francja 239239 -]",""
"86bwhywnk","8nnh0z2","[dell latitude 7290]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Klapa ma otarcia, Ok]","i5","8250U","","16","512","","[Mikro otarcia, Mikro poświatka]","[Bateria brak]","","","[20.11.23 ATF Francja 239239 -]",""
"86bwhz3h1","8MPSQV2","[dell latitude 7290]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Klapa ma otarcia, Ok]","i5","8250U","","8","BRAK","1366 x 768","[Bez wad]","","","","[20.11.23 ATF Francja 239239 -]",""
"86bwhz3q7","8MD6MQ2","[dell latitude 7290]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Klapa ma otarcia, Ok]","i5","7300U","","8","BRAK","1366 x 768","[Bez wad]","","","","[20.11.23 ATF Francja 239239 -]",""
"86bwhz4yk","1VHYMW2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Niekompletna, Francuska]","[Ok]","i5","8365U","","8","BRAK","1366 x 768","[Mikro otarcia]","","","3","[20.11.23 ATF Francja 239239 -]",""
"86bwj6gew","93R6NW2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Bez wad]","[]","","3","[20.11.23 ATF Francja 239239 -]",""
"86bwj93xv","8nhppn2","[dell latitude 5480]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","","","","","","","","[Nie włącza się]","tylko diodia zasilania","4","[20.11.23 ATF Francja 239239 -]",""
"86bwj99vy","HBDVYM2","[dell latitude 5480]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","6300U","","8","128","1920 x 1080","[Zwykłe ryski / otarcia, Dotyk]","[Hasło Bios]","TEST - OK","","[20.11.23 ATF Francja 239239 -]",""
"86bwja4cj","897H1N2","[dell latitude 5480]","Przyjęcie","[Brak]","","i5","6300U","","8","256","1366 x 768","[Zwykłe poświatki]","[]","
uszczerbek kolo USB
brązowa plama na dole ekranu

","4","[20.11.23 ATF Francja 239239 -]",""
"86bwjak2f","dkwtym2","[dell latitude 5480]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","6300U","","8","BRAK","1920 x 1080","[Dotyk, Problem]","[Zawiasy , Hasło Bios]","TEST OK, 
EKRAN - DZIWNE ŁUNY","4","[20.11.23 ATF Francja 239239 -]",""
"86bwjar5c","1b49nn2","[dell latitude 5480]","Magazyn","[Pionowy Enter ISO / EU, Francuska]","","","","","","","","[Problem]","[Ramka Matrycy]","MATRYCA LUZEM","","[20.11.23 ATF Francja 239239 -]",""
"86bwjat5c","6Z34NQ2","[dell latitude 5480]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","","","","","","","[]","[USB , Palmrest, Nie włącza się]","","4","[20.11.23 ATF Francja 239239 -]",""
"86bwjdh6u","8gxynv2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8350U","","8","256","1366 x 768","[Zwykłe ryski / otarcia, Zwykłe poświatki]","","","","[20.11.23 ATF Francja 239239 -]",""
"86bwjdm48","9rgt4y2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8350U","","8","","","[Problem]","[Zawiasy , Ramka Matrycy]","NO TEST","","[20.11.23 ATF Francja 239239 -]",""
"86bwje8jg","82rhxt2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8350U","","8","256","1366 x 768","[Wielkie poświaty, Zwykłe ryski / otarcia]","","","","[20.11.23 ATF Francja 239239 -]",""
"86bwjec8b","C6W8NV2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","i5","8350U","","8","256","1366 x 768","[Problem]","","ekran wypala sie od dolu
klapa pęknieta","","[20.11.23 ATF Francja 239239 -]",""
"86bwjmpvx","6d5w4y2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8350U","","8","256","1366 x 768","[Problem]","","rusza sie poswiata przy poruszaniu klapą","","[20.11.23 ATF Francja 239239 -]",""
"86bwjmq2p","HV9T4Y2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8350U","","8","","","[Zbita]","","NO TEST","","[20.11.23 ATF Francja 239239 -]",""
"86bwjmyey","JHFSWT2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8350U","","8","256","1366 x 768","[Zwykłe poświatki]","[Bateria brak]","","","[20.11.23 ATF Francja 239239 -]",""
"86bwjn66x","5L30XT2","[dell latitude 5490]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8350U","","8","256","1366 x 768","[Wielkie poświaty, Zwykłe ryski / otarcia]","","","","[20.11.23 ATF Francja 239239 -]",""
"86bwk54j9","9B7FJM2","[dell precision 7520]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","","","","","","","","[Nie włącza się]","tylko diodia od baterii","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk5bvd","2QJBXT2","[dell precision 7530]","Serwis","[Pionowy Enter ISO / EU, Uszkodzona, Francuska]","[Pęknięcie / Uszczerbek]","i5","8400H","","32","","","","[Touchpad]","NO TEST
pękn spód","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk5u15","42JXL13","[dell precision 7540]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","i5","9400H","T2000 Quadro","32","512","1920 x 1080","[Zwykłe ryski / otarcia, Zwykłe poświatki]","[Touchpad]","wygięty lekko tył","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk68t9","7F65ZY2","[dell latitude 7300]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Klapa ma otarcia, Pęknięcie / Uszczerbek]","","","","","","","[Zbita]","[Nie włącza się]","migaja biale diody 
uszkodzone gumki od klapy","","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk69wm","ATF296107","[dell latitude 7290]","Przyjęcie","[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Ok]","i5","7300U","","8","512","1366 x 768","[Mikro otarcia]","[Dźwięk]","brak dźwięku","","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk6n53","cn9tjw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Klapa ma otarcia, Ok]","","","","","","","[Zbita]","[Klapa X]","","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk6p9x","ht9tjw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Klapa ma otarcia, Ok]","","","","","","","[Zbita]","","","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk6q3u","51symw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Klapa ma otarcia, Ok]","","","","","","","[Zbita]","","","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk6t3q","7g02vp2","[dell latitude 5491]","Przyjęcie","[Pionowy Enter ISO / EU, Francuska]","[Pęknięcie / Uszczerbek]","i5","8400H","","16","512","1366 x 768","","","USZCZERBEK Z TYŁU","","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk77px","44btjw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Zbita]","","TEST OK","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk848b","j5btjw2","[dell latitude 5300]","Serwis","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","8","256","1366 x 768","[Wszędzie otarcia, Zwykłe poświatki]","[Inny]","poświata ruchoma przy poruszaniu ekranem - z lewej","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
"86bwk891a","h7whwz2","[dell latitude 5300]","Magazyn","[Pionowy Enter ISO / EU, Francuska]","[Ok]","i5","8365U","","16","256","1366 x 768","[Zwykłe ryski / otarcia, Zwykłe poświatki]","","","3","[21-22.11.23 ATF FRANCJA (KURIER) 239245 -]",""
